book	entry	book_title_serbian	scripture_refs	situation_syriac	scripture_syriac	situation_greek_retroversion	scripture_greek_retroversion	situation_serbian	scripture_serbian
1	1	Против помисли стомакоугађања	Пост. 49, 14–15.	ܐ: ܠܘܩܒܠ ܡܚܫ̈ܒܬܐ ܐܝܠܝܢ ܕܒܥܝܢ ܕܕܠܐ ܥܡܠܐ ܕܨܘܡܐ: ܢ̈ܦܠܚܢ ܐܪܥܐ ܡܠܝܠܬܐ.	ܐܝܣܟܪ ܓܒܪܐ ܓܢܒܪܐ ܕܪܒܝܥ ܒܝܬ ܫ̈ܒܝܠܐ. ܘܚܙܐ ܡܫܪܝܗ ܘܐܪܥܗ ܕܛܒܐ܆ ܘܐܪܟܢ ܟܬܦܗ ܠܫܘܥܒܕܐ ܘܗܘܐ ܠܡܐܕܬܐ.	1. προς διαλογισμους χωρις κοπου της νηστειας την λογικην γην εργα­ζεσθαι ζητουντας	+ Ισσαχαρ ανηρ πολεμιστης αναπαυομενος ανα μεσον των τριβων, και ιδων το καταλυμα αυτου οτι καλου και την γην αυτου οτι πιων υπεθηκεν τον ωμον αυτου εις δουλειαν και εγενετο εις φορον .	Против помисли која без напора поста жели да обрађује логосну земљу:	Исахар пожеле оно што је добро, почивајући између наследства. И пошто виде да је одмориште добро и да је земља плодна, он сави рамена своја од напора и постаде земљорадник.
1	2	Против помисли стомакоугађања	Изл. 31, 18.	ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܐܡܪܐ ܠܝ: ܕܠܐ ܬܢܘܠ ܢܦܫܟ ܒܨܘܡܐ ܣܓܝܐܐ ܕܡܕܡ ܠܐ ܡܘܬܪ ܠܟ ܐܦܠܐ ܡܕܟܐ ܠܗ ܠܪܥܝܢܟ	ܘܥܒܕ ܠܩܢܐ ܕܢܚܫܐ ܘܟܢܗ ܕܝܠܗ ܕܢܚܫܐ ܒܝܬ ܫܝܓܬܐ ܕܢ̈ܫܐ ܕܨܝ̈ܡܢ ܘܐܬ̈ܝܢ ܠܡܨܠܝܘ ܒܬܪܥܐ ܕܡܫܟܢܙܒܢܐ ܓ ܠܘܩܒܠ ܡܚܫ̈ܒܬܐ ܕܡܥܝܪ̈ܢ ܒܢ ܪܓܬܐ ܕܢܐܟܘܠ ܒܣܪܐ ܒܝܘܡܐ ܕܥܐܕܐ: ܘܡ̈ܠܟܢ ܠܢ ܬܘܒ	2. προς διαλογισμον λεγοντα μοι μη κοπον παρασχηις τηι ψυχηι σου δια πολλης νηστειας ουδεν σε ωφελουσης ουδε την διανοιαν σου καθαριζουσης	+ και εποιησε τον λουτηρα χαλκουν και την βασιν αυτου χαλκουν ωστε νιπτεσθαι τας γυναικας τας νηστευουσας και ερχομενας προσευχεσθαι επι την θυραν της σκηνης .	Против помисли која ти говори: „Немој душу своју мучити многим постом који ти ништа не користи, нити твој ум очишћује“:	Начинио је умиваоницу од бакра и њено бронзано подножје од огледала жена које постише, који постише пред вратима шатора сведочанства, у дан у који га је поставио.
1	3	Против помисли стомакоугађања	Бр. 11, 18–20.	ܕܢܐܟܘܠ ܡܛܠ ܟܘܪܗܢܐ ܕܦܓܪܐ܀	ܐܡܪ ܠܥܡܐ ܐܬܩܕܫܘ ܠܡܚܪ ܬܐܟܠܘ ܒܣܪܐ ܠܐ ܚܕ ܝܘܡ ܬܟܠܘܢܗ. ܘܠܐ ܬܪ̈ܝܢ ܝܘ̈ܡܝܢ ܘܠܐ ܚ̈ܡܫܐ ܝܘ̈ܡܝܢ. ܘܠܐ ܥܣ̈ܕܐ ܝܘ̈ܡܝܢ. ܘܠܐ ܥܣܪ̈ܝܢ ܝܘ̈ܡܝܢ. ܥܕܡܐ ܠܝܪܚ ܝܘ̈ܡܝܢ ܬܟܠܘܢܗ ܥܕܡܐ ܕܢܦܘܩ ܡܢ ܢܚܝܖ̈ܝܟܘܢ. ܘܬܗܘܐ ܠܟܘܢ ܐܦܬܪܐ. ܥܠ ܕܐܣܠܝܬܘܢ ܠܡܪܝܐ ܕܒܟܘܢ.	3. προς λογισμους ποθον εν ημιν εγειροντας κρεοφαγειν ημεραι εορτης και ημιν συμβουλευοντας παλιν φαγειν δι’ ασθενειαν σωματος	+ τωι λαωι ερεις αγνι­σασθε εις αυριον και φαγεσθε κρεα, ουχ ημεραν μιαν φαγεσθε ουδε δυο ουδε πεντε ημερας ουδε δεκα ημερας ουδε εικοσιν ημερας εως μηνος ημερων φαγεσθε εως αν εξελθηι εκ των μυκτηρων υμων και εσται υμιν εις χολεραν οτι ηπειθησατε κυριωι ος εστιν εν υμιν .	Против помисли које нас побуђују да једемо месо у празнични дан и које нам саветују да обедујемо више пута дневно због слабости тела:	А народу реци: Приправите се за сутра да једете меса. Нећете јести један дан, ни два дана, ни пет дана, ни десет дана, ни двадесет дана, него целих месец дана, докле вам на нос не удари и не огади вам се, зато што одбацисте Господа који је међу вама.
1	4	Против помисли стомакоугађања	Пнз. 6, 11–12.	ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܒܥܝܐ ܕܬܣܒܥ ܡܢ ܡܐܟܠܐ ܘܡܫܬܝܐ: ܘܠܐ ܚܝܪܐ ܒܣܘܪܚܢܐ ܕܢܒܥ ܡܢ ܣܒܥܘܬܐ ܕܟܪܣܐ.	ܘܬܐܟܘܠ ܘܬܣܒܥ ܐܠܐ ܐܙܕܗܪ ܕܠܐ ܬܛܥܐ ܠܡܪܝܐ ܐܠܗܟ. ܕܐܦܩܟ ܡܢ ܐܪܥܐ ܡܨ̈ܪܝܢ: ܡܢ ܒܝܬ ܥܒܕܘܬܐ.	4. προς λογισμον εμπλησθηναι ζητουντα εδωδης τε και ποτου ουδε εις την φθοραν την εκ πλησμονης γαστρος ανατελλουσαν καθορωντα	+ και φαγεις και εμπλησθησηι αλλα προσεχε σαυτωι μη επιλαθηι κυριου του θεου σου του εξαγα­γοντος σε εκ γης Αιγυπτου εξ οικου δουλειας .	Против помисли која тражи да се насити храном и пићем, те не обраћа пажњу на штету која проистиче из презасиђеног стомака:	Пошто си обедовао и наситио се, чувај се да не заборавиш Господа, који те је извео из земље Мисирске, из куће ропства.
1	5	Против помисли стомакоугађања	Пнз. 30, 11.	ܗ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܐܡܪܐ ܠܝ. ܝܩܝܪ ܦܘܩܕܢܐ ܕܨܘܡܐ.	ܕܗܢܐ ܦܘܩܕܢܐ. ܕܡܦܩܕ ܐܢܐ ܠܟ ܝܘܡܢܐ ܠܐ ܗܘܐ ܩܫܐ ܡܢܟ ܘܠܐ ܪܚܝܩ ܡܢܟ	5. προς διαλογισμον τον λεγοντα μοι οτι βαρεια η νηστειας εντολη	+ οτι η εντολη αυτη ην εγω εντελλομαι σοι σημερον ουχ υπερογκος εστιν ουδε μακραν απο σου .	Против помисли која ми каже: „Заповест поста је тегобна“:	Заповест коју ти дајем у овај дан није тегобна, нити је предалеко од тебе.
1	6	Против помисли стомакоугађања	Пнз. 32, 15.	ܘ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܪܓܐ ܕܬܣܒܠ ܡܢ ܡܐܟܠܐ ܘܡܢ ܡܫܬܝܐ ܘܣܒܪܐ ܠܗ ܕܡܕܡ ܕܒܝܫ ܠܐ ܗܘܐ ܠܗ ܠܢܦܫܐ ܡܢܗܘܢ.܀.	ܘܫܡܢ ܐܝܣܪܝܠ ܘܒܥܛ ܘܛܥܐ ܠܐܠܗܐ ܕܥܒܕܗ ܘܨܚܝ ܠܬܩܝܦܐ ܕܦܪܩܗ.	6. προς λογισμον εμπλησθηναι εδωδης και ποτου επιθυμουντα τε και οτι ουδεν κακον της ψυχηι εσται εξ αυτων οιομενον	+ και ελιπανθη Ισραηλ και απελακτισε και εγκατελιπε τον θεον τον ποιησαντα αυτον και εβλασφημει τον κρατερον τον σωσαντα αυτον .	Против помисли која жели да се насити јелом и пићем, те претпоставља да од њих не долази никаква штета по душу:	И Јаков једе и насити се; и вољени Израиљ се стаде ритати; угоји се и постаде дебео и широк; и напусти Бога који га је створио и одступи од Бога свог Спаситеља.
1	7	Против помисли стомакоугађања	2. Сам. 3, 35.	ܙ. ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܪܒܘܬ ܟܪܣܐ: ܕܐܠܨܐ ܠܝ ܕܐܟܘܠ ܒܬܫܥ ܫܥܝܢ.܀	ܗܟܢܐ ܢܥܒܕ ܠܝ ܐܠܗܐ ܘܗܟܢܐ ܢܘܣܦ ܠܝ: ܐܢ ܐܟܘܠ ܐܘ ܐܫܬܐ ܥܕܡܐ ܕܢܥܪܒ ܫܡܫܐ.	7. προς λογισμον γαστριμαργιας ινα ενατηι ωραι φαγω θλιβοντα με	+ ταδε ποιησαι μοι ο θεος και ταδε προσθειη οτι εαν μη δυηι ο ηλιος ου μη φαγω και πιω .	Против помисли стомакоугађа која ме приморава да једем у девети час:	Бог нека ми учини тако, и тако нека дода, ако окусим хлеба или што друго док не зађе сунце.
1	8	Против помисли стомакоугађања	1. Цар. 17, 14.	ܚ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܡܪܢܝܐ ܠܝ ܒܚܘܣܪܢܗ ܕܠܚܡܐ ܘܕܡܫܚܐ ܘܕܨܒ̈ܘܬܐ ܕܡܬ̈ܒܥܝܢ ܠܢ.	ܗܟܢܐ ܐܡܪ ܡܪܝܐ. ܩܘܠܬܐ ܕܩܡܚܐ ܠܐ ܬܓܡܪ ܘܩܪܢܐ ܕܡܫܚܐ ܠܐ ܬܚܣܪ. ܥܕܡܐ ܕܢܬܠ ܡܪܝܐ ܡܛܪܐ ܥܠ ܐܪܥܐ.	8. προς λογισμον μεριμναν με ποιουντα εν σπανει αρτου και χρι­σματος και των ημιν επιζητουμενων πραγματων	+ ταδε λεγει κυριος η υδρια του αλευρου ουκ εκλειψει και ο καψακης του ελαιου ουκ ελαττονησει εως του δουναι κυριον υετον επι της γης .	Против помисли која ми наговештава да ћу бити лишен хлеба, уља и осталих неопходних ствари:	Овако вели Господ Бог Израиљев: Брашно се из зделе неће потрошити, нити ће уља у крчагу нестати докле не пусти Господ дажда на земљу.
1	9	Против помисли стомакоугађања	1. Цар. 22, 26–27.	ܛ ܠܘܩܒܠ ܢܦܫܐ ܕܒܥܝܐ ܕܒܣܒܥܐ ܕܠܚܡܐ ܘܕܡ̈ܝܐ: ܬܕܪܘܫ ܐܘܪܚܐ ܕܩ̈ܕܝܫܐ܀	ܘܐܡܪ ܡܠܟܐ ܕܐܝܣܪܐܝܠ. ܣܒܝܗܝ ܠܡܝܟܐ܆ ܘܐܫܠܡܝܗܝ ܠܐܡܘܢ ܫܠܝܛܐ ܕܩܪܝܬܐ܆ ܘܠܝܘܐܫ ܒܪ ܡܠܟܐ ܘܢܗܘܐ ܒܚܒܘܫܝܐ ܘܐܘܟܠܘܗܝ ܠܚܡܐ ܕܐܘܠܨܢܐ ܪܒܐ. ܥܕܡܐ ܕܐܗܦܘܟ ܘܐܬܐ ܒܫܠܡܐ.	9. προς την ψυχην την εν πλησμονηι αρτου και υδατος οδωι των αγιων εμπερι­πατησαι ζητουσαν	+ και ειπεν ο βασιλευς Ισραηλ λαβετε τον Μειχαιαν και αποστρε­ψατε αυτον προς Αμμων τον αρχοντα της πολεως και προς Ιωας υιον του βασιλεως και εσται εν φυλακηι και ψωμισατε αυτον αρτον θλιψεως μεγαλης εως του επιστρεψαι με εν ειρηνηι .	Против душе која презасиђена водом и хлебом жели да иде путем светих:	Тада цар Израиљев рече: Ухвати Михеју и одведи га к Амону заповеднику градском и к Јоасу сину цареву; и реци им: Овако вели цар: Метните овога у тамницу, и дајте му по мало хеба и по мало воде докле се не вратим у миру.
1	10	Против помисли стомакоугађања	2. Цар. 4, 43–44.	ܝ ܠܘܩܒܠ ܡܚܫܒܬܐ ܕܐܡܪܐ ܠܢ: ܕܗܐ ܠܡ ܨ̈ܒܘܬܐ ܕܟܢܫܢܢ: ܠܐ ܣܦ̈ܩܢ ܠܢ ܘܠܐ̈ܚܐ ܕܐܬܝܢ ܨܐܕܝܢ܀	ܗܟܢܐ ܐܡܪ ܡܪܝܐ. ܢܐܟܠܘܢ ܘܢܘܬܪܘܢ. ܘܐܟܠܘ ܘܐܘܬܪܘ ܐܝܟ ܡܠܬܗ ܕܡܪܝܐ.	10. προς λογισμον λεγοντα μοι, οτι τα ημιν συνειλεγμενα ουκ εξαρκει ημιν και τοις αδελφοις τοις προς ημας ερχομενοις	+ ταδε λεγει κυριος φαγονται και καταλει­ψουσιν. και εφαγον και κατελιπον κατα το ρημα κυριου .	Против помисли која нам каже: „Гле, намирнице које смо сакупили нису довољне ни нама, ни браћи која нам долазе у посету“:	Овако говори Господ: Јешће и претећи ће. И они једоше, и претечи, према речи Господњој.
